# age, mass, xsound, sleep, brand
3.94,2.49,0.74,9.61,0.00
3.40,2.05,0.51,8.86,0.00
4.90,2.84,0.42,10.83,0.00
4.13,2.62,0.78,9.87,0.00
3.79,2.31,0.59,9.39,0.00
4.36,2.67,0.64,10.15,0.00
4.81,2.76,0.36,10.71,0.00
4.44,2.50,0.28,10.21,0.00
4.39,2.80,0.83,10.23,0.00
4.46,2.56,0.35,10.25,0.00
4.36,2.73,0.75,10.17,0.00
4.25,2.56,0.55,10.00,0.00
4.15,2.50,0.55,9.86,0.00
6.02,3.48,0.42,12.32,1.00
4.38,2.76,0.78,10.21,0.00
6.15,3.56,0.42,12.50,1.00
3.63,2.14,0.45,9.15,0.00
5.67,3.48,0.74,11.92,1.00
3.05,1.90,0.60,8.41,0.00
4.84,3.09,0.88,10.84,1.00
3.80,2.43,0.77,9.44,0.00
5.34,3.23,0.65,11.47,0.00
4.87,3.13,0.92,10.89,0.00
5.41,3.03,0.24,11.49,0.00
5.17,2.98,0.38,11.20,0.00
4.94,3.16,0.91,10.97,0.00
4.08,2.63,0.83,9.82,0.00
4.37,2.62,0.54,10.16,0.00
4.56,2.68,0.47,10.39,0.00
4.31,2.52,0.43,10.06,0.00
3.07,1.93,0.63,8.45,0.00
3.52,2.15,0.58,9.03,0.00
4.45,2.84,0.83,10.32,0.00
5.01,2.95,0.49,11.00,1.00
6.64,3.93,0.57,13.18,1.00
4.82,2.89,0.56,10.76,0.00
5.55,3.24,0.45,11.71,1.00
5.05,3.23,0.92,11.12,0.00
4.68,3.00,0.89,10.63,1.00
3.85,2.36,0.61,9.48,0.00
3.52,2.24,0.72,9.05,0.00
4.16,2.75,0.96,9.95,1.00
3.97,2.29,0.38,9.59,0.00
5.61,3.46,0.77,11.84,1.00
6.48,3.72,0.39,12.93,1.00
2.67,1.58,0.41,7.88,0.00
3.26,1.89,0.38,8.65,0.00
6.51,3.75,0.39,12.97,1.00
5.29,3.26,0.73,11.42,0.00
5.25,3.08,0.48,11.31,1.00
4.44,2.76,0.72,10.27,0.00
4.87,3.16,0.98,10.89,0.00
6.02,3.48,0.42,12.33,1.00
3.51,2.10,0.50,9.01,0.00
4.01,2.34,0.42,9.65,0.00
6.57,3.88,0.57,13.08,1.00
3.04,1.92,0.64,8.41,0.00
5.35,2.96,0.18,11.39,0.00
3.76,2.31,0.61,9.36,0.00
6.32,3.64,0.39,12.72,1.00
4.46,2.93,0.99,10.35,0.00
4.93,3.03,0.70,10.93,0.00
5.01,3.08,0.71,11.03,0.00
6.02,3.48,0.42,12.33,1.00
3.35,2.06,0.58,8.80,0.00
4.61,2.93,0.83,10.53,0.00
2.88,1.87,0.70,8.21,0.00
5.34,3.03,0.30,11.41,0.00
4.82,3.02,0.79,10.80,0.00
5.21,3.26,0.82,11.33,1.00
4.69,2.83,0.59,10.59,0.00
5.32,3.11,0.47,11.40,1.00
5.99,3.48,0.43,12.29,0.00
3.58,2.18,0.56,9.11,0.00
3.79,2.42,0.77,9.42,0.00
5.68,3.49,0.75,11.94,1.00
3.29,2.13,0.76,8.75,0.00
4.37,2.84,0.91,10.23,0.00
4.90,2.91,0.53,10.86,0.00
3.43,2.19,0.72,8.94,0.00
2.99,2.01,0.83,8.37,0.00
5.07,2.96,0.46,11.07,0.00
4.28,2.54,0.50,10.02,0.00
4.79,2.80,0.45,10.69,0.00
4.67,2.76,0.49,10.55,0.00
4.63,2.86,0.70,10.53,0.00
6.75,3.87,0.37,13.29,1.00
4.17,2.51,0.55,9.89,0.00
3.65,2.25,0.62,9.21,0.00
4.65,2.83,0.64,10.55,0.00
5.91,3.58,0.69,12.22,1.00
5.22,3.06,0.48,11.27,1.00
6.22,3.59,0.41,12.59,1.00
4.59,2.97,0.92,10.51,1.00
3.30,1.90,0.37,8.70,0.00
6.53,3.89,0.62,13.04,1.00
3.95,2.21,0.26,9.55,0.00
2.97,1.92,0.71,8.33,0.00
3.96,2.28,0.37,9.58,0.00
3.66,2.24,0.59,9.21,0.00
4.97,3.12,0.82,11.00,1.00
4.87,3.01,0.74,10.85,0.00
5.72,3.32,0.44,11.93,1.00
3.29,2.00,0.53,8.72,0.00
5.69,3.49,0.75,11.95,1.00
5.50,3.10,0.28,11.61,0.00
3.45,2.00,0.37,8.91,0.00
5.81,3.37,0.44,12.05,1.00
3.96,2.42,0.60,9.62,0.00
4.47,2.80,0.75,10.32,0.00
3.61,2.33,0.79,9.19,0.00
4.05,2.53,0.70,9.76,0.00
3.15,1.88,0.48,8.52,0.00
2.49,1.60,0.62,7.67,0.00
4.73,2.96,0.78,10.68,0.00
2.91,1.79,0.54,8.22,0.00
4.29,2.52,0.46,10.03,0.00
3.64,2.36,0.81,9.23,1.00
3.66,2.25,0.60,9.22,0.00
4.17,2.51,0.56,9.89,0.00
2.70,1.77,0.71,7.97,0.00
4.18,2.56,0.62,9.91,0.00
6.44,3.85,0.64,12.92,1.00
5.96,3.45,0.43,12.25,1.00
5.05,3.16,0.80,11.11,1.00
5.11,2.93,0.36,11.10,0.00
5.42,3.37,0.80,11.59,1.00
3.60,2.10,0.42,9.11,0.00
3.81,2.32,0.58,9.41,0.00
3.43,2.14,0.64,8.92,0.00
5.23,3.25,0.79,11.34,1.00
4.86,2.90,0.55,10.81,0.00
5.08,3.12,0.70,11.13,0.00
4.89,2.89,0.50,10.84,1.00
6.17,3.48,0.28,12.50,0.00
3.36,2.07,0.59,8.83,0.00
6.36,3.83,0.68,12.82,1.00
3.73,2.13,0.33,9.27,0.00
4.09,2.44,0.51,9.78,0.00
5.38,3.35,0.80,11.54,1.00
5.02,2.92,0.43,11.00,0.00
3.89,2.33,0.53,9.51,0.00
4.11,2.41,0.44,9.79,0.00
4.56,2.94,0.91,10.47,0.00
4.63,2.76,0.53,10.50,0.00
3.53,2.43,1.04,9.12,0.00
3.48,2.08,0.49,8.96,0.00
5.41,3.16,0.46,11.52,1.00
5.97,3.46,0.43,12.26,1.00
4.31,2.64,0.64,10.09,0.00
2.81,1.70,0.49,8.08,0.00
2.87,1.73,0.49,8.15,0.00
5.88,3.56,0.68,12.19,1.00
3.79,2.38,0.70,9.42,0.00
5.15,2.95,0.35,11.15,0.00
4.69,2.92,0.74,10.62,0.00
4.34,2.49,0.36,10.08,0.00
4.55,2.77,0.62,10.41,0.00
6.12,3.54,0.41,12.46,1.00
5.97,3.46,0.43,12.26,1.00
5.55,3.23,0.45,11.70,0.00
6.31,3.78,0.63,12.75,1.00
4.00,2.58,0.83,9.71,0.00
5.81,3.38,0.44,12.05,1.00
4.81,2.76,0.35,10.71,0.00
4.49,2.75,0.65,10.33,0.00
4.42,2.87,0.93,10.28,1.00
5.44,3.20,0.50,11.57,0.00
3.80,2.38,0.68,9.42,0.00
6.68,3.97,0.59,13.24,1.00
3.23,2.09,0.75,8.67,0.00
4.05,2.30,0.32,9.69,0.00
3.62,2.26,0.65,9.18,0.00
3.78,2.24,0.47,9.36,0.00
3.89,2.32,0.50,9.52,0.00
4.79,2.76,0.38,10.68,0.00
5.07,2.99,0.49,11.08,1.00
5.33,3.11,0.44,11.42,0.00
3.90,2.37,0.57,9.54,0.00
3.52,2.20,0.65,9.04,0.00
2.83,1.73,0.52,8.11,0.00
3.24,2.06,0.69,8.68,0.00
5.30,3.02,0.33,11.36,0.00
3.92,2.45,0.69,9.58,0.00
4.68,3.03,0.93,10.64,0.00
4.84,2.95,0.65,10.80,0.00
3.99,2.45,0.63,9.67,0.00
5.73,3.50,0.72,11.99,1.00
3.53,2.07,0.42,9.02,0.00
5.19,3.05,0.48,11.23,1.00
4.69,2.94,0.78,10.63,0.00
4.52,2.59,0.35,10.32,0.00
5.71,3.27,0.36,11.90,0.00
3.49,1.98,0.32,8.95,0.00
5.31,3.30,0.79,11.44,1.00
4.09,2.39,0.43,9.76,0.00
5.12,2.88,0.27,11.10,0.00
6.26,3.61,0.40,12.65,1.00
4.74,2.71,0.34,10.61,0.00
5.00,3.14,0.82,11.04,0.00
4.61,2.63,0.33,10.43,0.00
5.47,3.38,0.77,11.66,1.00
6.85,4.05,0.57,13.46,1.00
6.49,3.84,0.58,12.98,1.00
2.73,1.65,0.49,7.96,0.00
6.55,3.76,0.39,13.02,1.00
4.36,2.59,0.51,10.13,0.00
4.63,2.62,0.31,10.46,0.00
5.39,3.33,0.76,11.55,1.00
4.32,2.57,0.50,10.08,0.00
3.23,2.11,0.78,8.69,0.00
5.93,3.60,0.70,12.26,1.00
4.28,2.58,0.56,10.04,0.00
3.17,2.03,0.71,8.58,0.00
4.87,3.08,0.85,10.87,0.00
6.09,3.52,0.41,12.42,1.00
4.12,2.45,0.49,9.82,0.00
5.94,3.61,0.71,12.27,1.00
5.30,3.11,0.47,11.38,1.00
4.81,2.96,0.70,10.77,0.00
5.74,3.27,0.33,11.94,0.00
5.20,3.25,0.81,11.31,0.00
3.31,2.11,0.70,8.77,0.00
5.14,2.96,0.38,11.15,0.00
5.50,3.40,0.78,11.70,1.00
5.77,3.35,0.44,12.00,1.00
2.78,1.76,0.61,8.06,0.00
3.98,2.29,0.36,9.60,0.00
5.42,3.17,0.47,11.54,1.00
2.99,1.89,0.63,8.34,0.00
3.77,2.16,0.34,9.33,0.00
4.03,2.51,0.68,9.73,0.00
3.65,2.27,0.65,9.22,0.00
5.69,3.49,0.74,11.94,1.00
3.96,2.44,0.63,9.63,0.00
5.50,3.39,0.77,11.69,1.00
4.78,3.08,0.93,10.77,0.00
3.79,2.29,0.54,9.38,0.00
5.82,3.55,0.72,12.11,1.00
4.07,2.55,0.72,9.79,0.00
5.52,3.22,0.46,11.66,1.00
5.60,3.51,0.86,11.85,0.00
4.85,3.08,0.86,10.85,1.00
2.34,1.45,0.53,7.45,0.00
5.18,3.04,0.48,11.22,1.00
4.03,2.55,0.77,9.74,0.00
3.25,1.90,0.40,8.65,0.00
4.06,2.49,0.62,9.76,0.00
4.86,2.74,0.27,10.76,0.00
5.27,3.04,0.38,11.32,0.00
3.59,2.11,0.42,9.10,0.00
5.08,3.20,0.84,11.16,1.00
5.83,3.38,0.43,12.07,1.00
3.30,2.05,0.62,8.74,0.00
4.03,2.63,0.88,9.76,0.00
4.45,2.77,0.71,10.30,0.00
4.39,2.72,0.70,10.21,0.00
4.83,2.82,0.44,10.74,0.00
4.57,2.57,0.27,10.38,0.00
3.25,2.09,0.72,8.70,0.00
6.28,3.51,0.22,12.63,0.00
5.58,3.42,0.73,11.80,1.00
6.26,3.61,0.40,12.65,1.00
4.79,2.94,0.68,10.74,0.00
4.40,2.62,0.52,10.20,0.00
4.62,2.79,0.59,10.49,0.00
5.64,3.28,0.45,11.82,1.00
6.01,3.48,0.42,12.31,1.00
5.63,3.45,0.73,11.87,1.00
3.84,2.43,0.73,9.49,0.00
4.60,2.74,0.53,10.46,0.00
4.94,3.14,0.87,10.97,1.00
4.98,2.94,0.50,10.97,0.00
6.25,3.60,0.41,12.62,1.00
5.29,3.10,0.47,11.37,1.00
4.52,2.78,0.68,10.38,0.00
5.36,3.34,0.81,11.51,1.00
6.27,3.61,0.40,12.65,1.00
5.02,2.99,0.55,11.02,0.00
4.17,2.69,0.85,9.95,0.00
6.36,3.67,0.40,12.78,1.00
6.39,3.81,0.62,12.85,1.00
5.70,3.48,0.73,11.95,1.00
4.45,2.56,0.37,10.24,0.00
6.29,3.75,0.62,12.72,1.00
2.57,1.61,0.58,7.77,0.00
3.53,2.16,0.58,9.04,0.00
3.77,2.41,0.77,9.40,0.00
5.49,3.13,0.33,11.61,0.00
4.01,2.53,0.73,9.71,0.00
6.68,3.84,0.38,13.20,1.00
5.47,3.20,0.47,11.60,1.00
3.65,2.19,0.51,9.19,0.00
5.24,3.08,0.48,11.30,1.00
4.40,2.80,0.82,10.25,0.00
5.02,2.90,0.38,11.00,0.00
4.99,2.95,0.50,10.98,1.00
5.78,3.36,0.45,12.01,1.00
4.62,2.78,0.59,10.49,0.00
3.82,2.18,0.34,9.39,0.00
5.35,3.16,0.52,11.46,0.00
5.30,2.94,0.21,11.33,0.00
4.03,2.66,0.93,9.78,0.00
4.24,2.46,0.40,9.96,0.00
4.32,2.56,0.50,10.08,0.00
5.19,3.24,0.81,11.29,1.00
5.78,3.36,0.44,12.01,1.00
4.93,3.04,0.71,10.93,0.00
4.40,2.72,0.68,10.22,0.00
6.12,3.68,0.65,12.50,1.00
5.20,3.00,0.39,11.23,1.00
3.66,2.17,0.46,9.20,0.00
4.99,2.90,0.43,10.96,0.00
6.58,3.91,0.60,13.10,1.00
3.69,2.15,0.41,9.23,0.00
3.84,2.43,0.74,9.48,0.00
3.45,2.27,0.84,8.98,0.00
5.83,3.30,0.29,12.05,0.00
2.92,1.85,0.64,8.24,0.00
3.78,2.21,0.42,9.35,0.00
4.69,2.96,0.81,10.63,0.00
3.61,2.25,0.65,9.16,0.00
5.72,3.33,0.45,11.94,1.00
6.04,3.70,0.77,12.41,0.00
6.48,3.73,0.39,12.94,1.00
6.77,4.01,0.58,13.35,1.00
4.71,2.88,0.67,10.62,0.00
5.43,3.34,0.74,11.59,1.00
5.46,3.19,0.46,11.58,1.00
4.98,2.94,0.50,10.95,0.00
5.49,3.38,0.75,11.68,1.00
3.19,2.00,0.63,8.61,0.00
6.15,3.70,0.65,12.54,1.00
3.56,2.27,0.74,9.11,0.00
5.66,3.39,0.61,11.88,0.00
4.24,2.55,0.55,9.99,0.00
5.94,3.44,0.43,12.22,1.00
6.24,3.60,0.40,12.62,1.00
5.31,3.11,0.47,11.39,1.00
4.07,2.41,0.49,9.74,0.00
3.79,2.20,0.40,9.36,0.00
4.55,2.69,0.49,10.39,0.00
5.62,3.28,0.46,11.80,0.00
4.45,2.84,0.84,10.31,0.00
5.58,3.08,0.17,11.69,0.00
4.17,2.52,0.57,9.90,0.00
4.07,2.31,0.31,9.71,0.00
5.00,2.84,0.31,10.95,0.00
5.10,2.93,0.36,11.10,0.00
3.89,2.22,0.34,9.48,0.00
6.45,3.71,0.39,12.90,1.00
3.57,2.23,0.65,9.12,0.00
6.89,4.05,0.53,13.50,1.00
4.94,3.08,0.78,10.95,0.00
5.94,3.60,0.70,12.27,1.00
4.94,3.13,0.86,10.96,1.00
4.34,2.77,0.83,10.17,0.00
3.74,2.35,0.69,9.35,0.00
3.68,2.25,0.59,9.24,0.00
5.42,3.36,0.79,11.59,1.00
5.49,3.20,0.46,11.62,1.00
3.90,2.45,0.70,9.56,0.00
4.54,2.79,0.66,10.40,0.00
4.24,2.52,0.51,9.98,0.00
4.40,2.77,0.77,10.23,0.00
5.24,3.07,0.47,11.30,1.00
5.16,2.99,0.41,11.18,0.00
4.60,2.82,0.66,10.48,0.00
3.67,2.21,0.53,9.22,0.00
4.19,2.66,0.78,9.96,0.00
3.04,1.81,0.46,8.37,0.00
4.89,2.89,0.51,10.85,1.00
5.40,3.37,0.81,11.57,0.00
2.76,1.65,0.45,8.00,0.00
4.71,2.80,0.52,10.60,1.00
3.96,2.32,0.43,9.59,0.00
4.18,2.69,0.84,9.96,0.00
4.33,2.73,0.77,10.14,0.00
5.47,3.19,0.46,11.60,1.00
4.88,3.15,0.95,10.90,0.00
5.15,3.03,0.49,11.19,0.00
6.10,3.53,0.41,12.43,1.00
2.80,1.72,0.54,8.06,0.00
5.28,3.10,0.47,11.36,1.00
4.52,2.76,0.63,10.37,0.00
4.58,2.72,0.51,10.43,0.00
4.30,2.53,0.47,10.04,0.00
5.38,3.32,0.75,11.54,1.00
3.48,2.15,0.61,8.98,0.00
5.50,3.18,0.41,11.64,0.00
5.59,3.26,0.46,11.76,1.00
6.97,4.08,0.52,13.60,1.00
6.25,3.60,0.40,12.63,1.00
4.40,2.77,0.77,10.24,0.00
3.66,2.32,0.72,9.25,0.00
5.55,3.24,0.45,11.71,1.00
5.94,3.41,0.37,12.21,0.00
4.36,2.68,0.65,10.16,0.00
5.63,3.47,0.77,11.87,1.00
4.33,2.61,0.57,10.11,0.00
4.14,2.66,0.84,9.90,0.00
3.65,2.26,0.63,9.21,0.00
3.96,2.42,0.60,9.62,0.00
3.08,1.93,0.62,8.46,0.00
4.80,2.87,0.56,10.73,0.00
4.53,2.84,0.76,10.41,0.00
3.65,2.15,0.44,9.18,1.00
4.58,2.73,0.53,10.43,0.00
4.74,2.65,0.24,10.59,0.00
4.00,2.58,0.83,9.71,0.00
5.35,3.13,0.47,11.45,1.00
4.70,2.75,0.44,10.58,0.00
3.91,2.28,0.42,9.52,0.00
3.86,2.26,0.42,9.46,0.00
3.92,2.31,0.46,9.55,0.00
3.92,2.33,0.49,9.55,0.00
5.71,3.32,0.45,11.92,1.00
5.83,3.55,0.71,12.13,0.00
4.55,3.03,1.06,10.49,0.00
3.43,2.13,0.61,8.92,0.00
4.02,2.45,0.60,9.69,0.00
3.81,2.25,0.46,9.40,0.00
6.35,3.83,0.69,12.81,0.00
3.72,2.32,0.66,9.31,0.00
4.69,2.73,0.42,10.56,0.00
4.92,2.91,0.50,10.88,1.00
5.06,3.19,0.84,11.12,1.00
3.88,2.43,0.68,9.53,0.00
3.91,2.50,0.79,9.59,0.00
4.59,2.90,0.81,10.50,0.00
6.42,3.81,0.58,12.89,1.00
6.59,3.78,0.38,13.07,1.00
4.50,2.79,0.72,10.36,0.00
5.92,3.43,0.43,12.20,1.00
5.50,3.38,0.75,11.69,1.00
4.87,3.08,0.84,10.87,0.00
5.02,2.87,0.34,10.98,0.00
6.42,3.82,0.60,12.89,1.00
4.06,2.39,0.45,9.73,0.00
4.68,2.75,0.46,10.55,0.00
4.98,3.15,0.86,11.02,1.00
5.42,3.17,0.46,11.53,1.00
3.14,1.89,0.50,8.51,0.00
5.80,3.37,0.43,12.04,1.00
7.09,4.15,0.52,13.77,1.00
5.78,3.26,0.26,11.98,0.00
6.50,3.74,0.39,12.96,1.00
3.89,2.42,0.67,9.54,0.00
2.23,1.52,0.74,7.34,0.00
3.99,2.35,0.45,9.63,0.00
4.34,2.53,0.42,10.09,0.00
4.66,2.84,0.64,10.55,0.00
4.74,2.69,0.31,10.60,0.00
3.76,2.41,0.77,9.39,0.00
2.76,1.76,0.64,8.03,0.00
4.44,2.63,0.51,10.24,0.00
6.07,3.68,0.70,12.44,1.00
4.45,2.52,0.31,10.22,0.00
3.37,2.19,0.78,8.87,0.00
3.94,2.29,0.40,9.56,0.00
3.86,2.29,0.47,9.47,0.00
5.66,3.29,0.45,11.85,1.00
5.37,3.32,0.76,11.52,1.00
5.42,3.26,0.61,11.56,0.00
3.19,2.06,0.73,8.63,0.00
5.61,3.17,0.29,11.76,0.00
3.25,1.95,0.49,8.66,0.00
6.03,3.49,0.42,12.34,1.00
3.97,2.35,0.47,9.61,0.00
6.04,3.66,0.70,12.40,1.00
4.14,2.54,0.63,9.86,0.00
5.13,3.35,1.05,11.26,0.00
5.01,2.89,0.38,10.97,0.00
6.45,3.71,0.39,12.89,1.00
3.94,2.37,0.54,9.59,0.00
4.23,2.65,0.73,10.01,0.00
3.49,1.95,0.27,8.93,0.00
5.67,3.23,0.32,11.84,0.00
3.65,2.13,0.42,9.18,0.00
5.03,3.19,0.87,11.09,0.00
5.51,3.40,0.77,11.71,1.00
5.46,3.38,0.78,11.64,1.00
4.95,2.93,0.50,10.92,1.00
5.34,3.30,0.76,11.48,1.00
4.14,2.38,0.35,9.82,0.00
3.66,2.12,0.39,9.19,0.00
4.56,2.78,0.64,10.42,0.00
5.30,3.28,0.77,11.44,1.00
6.61,3.92,0.59,13.14,1.00
5.12,3.03,0.51,11.15,0.00
4.86,2.90,0.56,10.80,0.00
3.49,2.28,0.81,9.03,0.00
5.55,3.41,0.74,11.76,1.00
5.47,3.37,0.77,11.65,0.00
3.94,2.32,0.46,9.57,0.00
4.95,2.77,0.25,10.87,0.00
3.85,2.31,0.53,9.46,0.00
6.40,3.64,0.31,12.82,0.00
3.81,2.27,0.49,9.41,0.00
6.37,3.67,0.40,12.79,1.00
4.77,2.89,0.62,10.70,0.00
3.36,2.10,0.64,8.82,0.00
4.14,2.43,0.45,9.84,0.00
5.23,3.27,0.81,11.34,1.00
4.56,2.92,0.87,10.46,0.00
4.90,2.89,0.50,10.85,1.00
3.89,2.52,0.83,9.57,0.00
6.48,3.73,0.39,12.93,1.00
4.69,2.94,0.77,10.63,0.00
6.06,3.50,0.41,12.38,1.00
4.16,2.50,0.55,9.87,0.00
5.47,3.33,0.68,11.64,0.00
4.88,2.82,0.39,10.81,0.00
3.69,2.39,0.81,9.30,0.00
4.10,2.44,0.49,9.79,0.00
4.84,3.05,0.82,10.83,0.00
4.88,2.68,0.16,10.76,0.00
4.26,2.47,0.39,9.99,0.00
3.59,2.24,0.65,9.14,0.00
2.76,1.57,0.32,7.97,0.00
3.44,2.16,0.66,8.94,0.00
5.44,3.37,0.78,11.62,1.00
3.75,2.33,0.65,9.35,0.00
4.43,2.57,0.40,10.21,0.00
5.38,3.14,0.46,11.48,1.00
3.56,2.23,0.67,9.10,0.00
4.36,2.74,0.76,10.18,0.00
2.75,1.88,0.85,8.06,0.00
3.89,2.34,0.53,9.51,0.00
2.05,1.44,0.78,7.11,0.00
5.31,3.12,0.48,11.40,1.00
5.55,3.22,0.43,11.70,0.00
4.63,2.90,0.76,10.54,0.00
5.31,3.36,0.89,11.46,0.00
6.58,3.78,0.38,13.07,1.00
4.47,2.66,0.52,10.28,0.00
2.72,1.68,0.56,7.96,0.00
5.14,3.00,0.45,11.16,0.00
4.49,2.91,0.93,10.38,1.00
5.77,3.35,0.44,11.99,1.00
3.46,2.03,0.44,8.92,0.00
4.68,2.66,0.32,10.53,0.00
5.70,3.48,0.72,11.95,1.00
4.66,2.70,0.40,10.52,0.00
6.09,3.52,0.42,12.42,1.00
3.59,2.21,0.61,9.13,0.00
4.35,2.49,0.34,10.09,0.00
4.83,2.72,0.28,10.72,0.00
4.98,2.86,0.36,10.93,0.00
5.05,3.20,0.87,11.11,0.00
6.03,3.39,0.25,12.31,0.00
5.63,3.43,0.71,11.86,1.00
4.42,2.83,0.85,10.28,0.00
5.45,3.36,0.77,11.62,1.00
4.31,2.67,0.69,10.10,0.00
4.81,3.02,0.79,10.79,0.00
5.09,2.91,0.35,11.08,0.00
4.34,2.66,0.64,10.14,0.00
3.85,2.36,0.61,9.48,0.00
5.11,3.22,0.85,11.19,1.00
4.70,2.85,0.62,10.61,0.00
4.64,2.89,0.74,10.55,0.00
4.99,2.94,0.50,10.97,1.00
3.75,2.21,0.46,9.31,0.00
5.34,3.10,0.42,11.43,0.00
5.02,3.12,0.76,11.06,0.00
5.56,3.24,0.45,11.72,1.00
4.50,2.69,0.53,10.33,1.00
3.62,2.33,0.77,9.20,0.00
3.46,2.08,0.51,8.94,0.00
4.93,3.13,0.88,10.95,0.00
6.06,3.50,0.42,12.38,1.00
3.47,2.08,0.49,8.95,0.00
4.31,2.82,0.95,10.14,0.00
2.64,1.60,0.48,7.85,0.00
3.36,1.89,0.29,8.77,0.00
5.07,3.17,0.80,11.14,1.00
5.48,3.39,0.78,11.67,1.00
5.57,3.40,0.71,11.78,0.00
5.64,3.28,0.45,11.82,1.00
4.75,2.71,0.33,10.62,0.00
3.75,2.35,0.68,9.36,0.00
6.70,3.96,0.56,13.26,1.00
3.74,2.17,0.40,9.29,0.00
4.57,2.72,0.52,10.42,1.00
5.86,3.40,0.44,12.12,1.00
5.19,3.13,0.62,11.26,0.00
6.14,3.55,0.41,12.49,1.00
3.45,2.24,0.78,8.98,0.00
5.69,3.49,0.74,11.95,1.00
3.93,2.48,0.73,9.60,0.00
5.37,3.29,0.72,11.52,0.00
2.95,1.87,0.65,8.29,0.00
4.99,2.94,0.49,10.97,0.00
5.70,3.32,0.44,11.91,1.00
4.13,2.51,0.58,9.85,0.00
5.47,3.19,0.46,11.60,1.00
3.82,2.31,0.56,9.42,0.00
5.79,3.36,0.44,12.02,1.00
5.88,3.41,0.43,12.15,1.00
5.17,3.02,0.46,11.20,0.00
4.58,2.88,0.78,10.47,0.00
4.17,2.67,0.82,9.93,0.00
4.11,2.67,0.88,9.87,0.00
3.61,2.25,0.65,9.16,0.00
5.16,2.93,0.32,11.17,0.00
4.56,2.96,0.95,10.48,1.00
4.66,2.95,0.83,10.59,0.00
3.54,2.24,0.70,9.08,0.00
4.50,2.60,0.38,10.30,0.00
5.18,2.92,0.27,11.19,0.00
5.08,2.87,0.28,11.06,0.00
